date,destitute,extravagant,fire,gamble,hole,isPartial
2008-01-01,0,0,20,0,4,False
2008-01-02,0,0,19,0,3,False
2008-01-03,0,0,19,1,3,False
2008-01-04,0,0,19,0,3,False
2008-01-05,0,0,19,1,4,False
2008-01-06,0,0,18,1,4,False
2008-01-07,0,0,19,0,3,False
2008-01-08,0,0,17,1,3,False
2008-01-09,0,0,17,0,3,False
2008-01-10,0,0,17,1,3,False
2008-01-11,0,0,19,1,3,False
2008-01-12,0,0,16,1,3,False
2008-01-13,0,0,18,1,4,False
2008-01-14,0,0,18,0,3,False
2008-01-15,0,0,18,1,3,False
2008-01-16,0,0,18,1,3,False
2008-01-17,0,0,19,1,3,False
2008-01-18,0,0,18,1,3,False
2008-01-19,0,0,19,0,3,False
2008-01-20,0,0,20,0,3,False
2008-01-21,0,0,19,0,4,False
2008-01-22,0,0,19,1,3,False
2008-01-23,0,0,18,1,3,False
2008-01-24,0,0,18,1,3,False
2008-01-25,0,0,29,1,3,False
2008-01-26,0,0,24,0,4,False
2008-01-27,0,0,20,1,4,False
2008-01-28,0,0,19,1,3,False
2008-01-29,0,0,20,0,4,False
2008-01-30,0,0,18,1,4,False
2008-01-31,0,0,18,1,3,False
2008-02-01,0,0,19,1,3,False
2008-02-02,0,0,17,1,4,False
2008-02-03,0,0,17,0,4,False
2008-02-04,0,0,17,1,3,False
2008-02-05,0,0,18,1,3,False
2008-02-06,0,0,18,0,3,False
2008-02-07,0,0,18,0,4,False
2008-02-08,0,0,19,0,4,False
2008-02-09,0,0,19,1,3,False
2008-02-10,0,0,20,1,3,False
2008-02-11,0,0,20,1,4,False
2008-02-12,0,0,18,1,3,False
2008-02-13,0,0,17,1,3,False
2008-02-14,0,0,18,1,3,False
2008-02-15,0,0,17,1,3,False
2008-02-16,0,0,19,0,4,False
2008-02-17,0,0,18,0,4,False
2008-02-18,0,0,19,0,4,False
2008-02-19,0,0,19,1,3,False
2008-02-20,0,0,18,1,3,False
2008-02-21,0,0,16,1,3,False
2008-02-22,0,0,19,1,3,False
2008-02-23,0,0,19,1,3,False
2008-02-24,0,0,18,1,4,False
2008-02-25,0,0,17,1,3,False
2008-02-26,0,0,18,0,3,False
2008-02-27,0,0,18,1,3,False
2008-02-28,0,0,18,1,3,False
2008-02-29,0,0,18,1,3,False
2008-03-01,0,0,17,0,3,False
2008-03-02,0,0,17,1,3,False
2008-03-03,0,0,18,1,3,False
2008-03-04,0,0,19,1,3,False
2008-03-05,0,0,18,1,3,False
2008-03-06,0,0,18,1,3,False
2008-03-07,0,0,18,0,3,False
2008-03-08,0,0,18,0,4,False
2008-03-09,0,0,19,1,4,False
2008-03-10,0,0,16,1,3,False
2008-03-11,0,0,19,1,4,False
2008-03-12,0,0,18,1,3,False
2008-03-13,0,0,18,0,3,False
2008-03-14,0,0,17,1,3,False
2008-03-15,0,0,17,0,3,False
2008-03-16,0,0,18,1,4,False
2008-03-17,0,0,18,1,3,False
2008-03-18,0,0,18,1,3,False
2008-03-19,0,0,18,1,3,False
